ISO,Biome,y2012p,share,
PAK,13,0.11,0.0253055254919855,
PAK,14,0.38,0.00846568207296679,
PAK,99,0,NA,
PLW,1,0.11,0.0000244994976349501,
PSE,12,0,0.00157522487018918,
PSE,13,0,0.0000414436151656886,
PAN,1,0.21,0.00338626664290897,
PAN,2,0.01,0.00168993549381109,
PAN,14,0.14,0.0116342711190812,
PNG,1,0.02,0.0222517445219617,
PNG,7,0.33,0.000885904126369614,
PNG,10,0,0.00118798544127769,
PNG,14,0.02,0.0171193382826499,
PRY,1,0.03,0.00440095633552843,
PRY,7,0.06,0.0150059323417939,
PRY,9,0.06,0.00191251281403261,
PER,1,0.22,0.044897392823955,
PER,2,0.06,0.0164572680405182,
PER,10,0.1,0.0365496904414102,
PER,13,0.04,0.0065628357793391,
PER,14,0.05,0.00104291691210484,
PHL,1,0.11,0.0147918668518193,
PHL,3,0.16,0.00996388629331701,
POL,4,0.22,0.0227933921815054,
POL,5,0.36,0.00470541724550838,
PRT,4,0.1,0.00142475536772382,
PRT,12,0.08,0.0228756842848265,
PRI,1,0.05,0.000382083833553066,
PRI,2,0.22,0.000421895054975401,
PRI,14,0.23,0.000674007015006726,
QAT,13,0.02,0.000404637423095345,
KOR,4,0.06,0.00781518898351262,
MDA,4,0.02,0.0020667827144526,
MDA,8,0,0.00075266170787404,
SSD,1,1,0.0000110520601423029,
SSD,7,1,0.0023699909311512,
SSD,9,1,0.0238289994629894,
REU,1,0.77,0.000128663508450546,
ROU,4,0.03,0.0124170403162566,
ROU,5,0.12,0.0130172612776962,
ROU,8,0.2,0.00244394514286238,
RUS,4,0.08,0.132404187362062,
RUS,5,0.13,0.108048739909553,
RUS,6,0.09,0.607032448475745,
RUS,8,0.05,0.148311703863029,
RUS,9,0.08,0.0811281847065873,
RUS,10,0.21,0.0176770173276964,
RUS,11,0.16,0.449762853717666,
RUS,13,0.13,0.00386667556243405,
RWA,1,0.12,0.000561575099092356,
RWA,7,0.07,0.000659384137115513,
RWA,10,0.26,0.000124031106430297,
SHN,7,0.15,0.0000128859566967365,
KNA,1,0,0.00000324733883295973,
KNA,13,0.56,0.000000549300987975439,
KNA,14,0,0.000521087291675402,
LCA,1,0.24,0.0000165087919110407,
LCA,2,0.04,0.0000900594553172386,
LCA,13,0.01,0.000000780679724446864,
SPM,6,0.2,0.0000149849500751336,
VCT,1,0.24,0.00000921259785029216,
VCT,2,0,0.0000178200288629555,
VCT,13,0,0.00000160320073508717,
VCT,14,0,0.000431842879245794,
BLM,14,0.07,0.0000679368278230316,
MAF,13,0.14,0.00000184495038864928,
WSM,1,0.06,0.000146120566102704,
SAU,13,0.3,0.0701144453195118,
SEN,7,0.24,0.00939838016784655,
SEN,14,0.05,0.00395204831185506,
SRB,4,0.88,0.00686912289044833,
SRB,12,0,0.0000612621911395934,
SYC,1,0.11,0.0000181846898275015,
SYC,13,0.9,0.00000591464130216523,
SLE,1,0.06,0.00239727795819718,
SLE,7,0.08,0.000901292154693875,
SLE,14,0.05,0.0192580424103415,
SGP,1,0.05,0.0000341982026948207,
SVK,4,0.13,0.00245513542822065,
SVK,5,0.42,0.00427848309865201,
SVN,4,0.53,0.00116712757870413,
SVN,5,0.54,0.000920086511660074,
SVN,12,0.61,0.000477697456203822,
SLB,1,0.01,0.00145751450733082,
SOM,1,0.06,0.00154755134583451,
SOM,7,0,0.0233098096739255,
SOM,13,0,0.0043006333562339,
SOM,14,0,0.00115632824952694,
ZAF,1,0.12,0.00153098701337227,
ZAF,7,0.19,0.00813571231135144,
ZAF,10,0.03,0.0780829262593661,
ZAF,12,0.19,0.0297335014975104,
ZAF,13,0.03,0.0194861110234004,
ZAF,14,0.13,0.00241375067789049,
ESP,4,0.14,0.00586975785970257,
ESP,12,0.08,0.133813485578025,
LKA,1,0.08,0.000798593127469162,
LKA,2,0.26,0.0159252341585534,
LKA,13,0.09,0.0000876095737859447,
SDN,1,0,0.000291159365322876,
SDN,7,0.02,0.0738170611883737,
SDN,9,0,0.139563580302109,
SDN,10,0,0.000116466840926291,
SDN,13,0,0.0262793463815904,
SUR,1,0.1,0.00724118445683693,
SUR,7,0.99,0.0000262252219993032,
SUR,14,0.57,0.0125048027983045,
SJM,11,0.65,0.00734499026020217,
SWZ,1,0.09,0.00015774841361065,
SWZ,7,0.01,0.000337298538994422,
SWZ,10,0.03,0.00149352220006866,
SWE,4,0.04,0.0102588886632051,
SWE,6,0.09,0.0173184101081495,
SWE,11,0.44,0.00604134070820956,
CHE,4,0.17,0.00138241383576279,
CHE,5,0.32,0.00575163334730508,
SYR,8,0.01,0.00811353566478968,
SYR,12,0,0.0156201280650872,
SYR,13,0,0.00195200257103761,
TWN,1,0.12,0.00185397722908839,
TJK,8,0.02,0.00651536636543008,
TJK,10,0.04,0.0132116220981898,
TJK,13,0.05,0.000141960689315564,
TJK,99,0.16,NA,
THA,1,0.27,0.0141012970391546,
THA,2,0.08,0.0752798237418861,
THA,14,0.06,0.034454584258094,
MKD,4,0.02,0.00154555682512089,
MKD,12,0.13,0.00168843524072312,
TLS,2,0.09,0.00496704773322485,
TGO,1,0.15,0.000322307933165152,
TGO,7,0.11,0.00244822863867597,
TKL,1,0.08,0.00000075361903874901,
TON,1,0.17,0.0000359281125234569,
TTO,1,0.32,0.000241374140048385,
TTO,2,0.05,0.0000900065278136545,
TTO,14,0.38,0.000492301432213356,
TUN,5,0.01,0.000646350360698593,
TUN,9,0.09,0.0098251483483662,
TUN,12,0.01,0.024561520410717,
TUN,13,0,0.00223858248062225,
TUR,4,0.02,0.0238551774371756,
TUR,5,0.02,0.0247877448518107,
TUR,8,0.01,0.0104501819804857,
TUR,12,0.03,0.0834784136177936,
TKM,8,0,0.000361028610637655,
TKM,10,0.06,0.00707687425536711,
TKM,13,0.03,0.0157888948157567,
TCA,3,0.17,0.000457396074146524,
TCA,14,0.56,0.00183017030258832,
TUV,1,0.03,0.00000203614717974378,
UGA,1,0.28,0.0012373069222991,
UGA,7,0.15,0.00886089047499294,
UGA,10,0.79,0.000325461295246644,
UKR,4,0.04,0.0251099424123796,
UKR,5,0.09,0.00821709972868452,
UKR,8,0.01,0.0239436929948749,
ARE,8,0,0.00000934031747026382,
ARE,13,0.16,0.00284092713333823,
GBR,4,0.29,0.0151809230071293,
GBR,5,0.41,0.00528804966315559,
TZA,1,0.26,0.0056357323411504,
