iso,Country,Total Score,Included on the EPI,Signature Date,Ratification Date,Points,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision,Decision
PNG,Papua New Guinea,3,N,2001,2003,3,,,,,,,,,,,
POL,Poland,24,Y,2001,2008,3,2,2,2,2,1,2,2,2,2,2,2
PRI,Puerto Rico,,,,,,,,,,,,,,,,
PRK,North Korea,3,N,,2002,3,,,0,,,,,0,,0,
PRT,Portugal,23,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
PRY,Paraguay,21,Y,2001,2004,3,2,2,2,2,0,2,2,2,2,,2
PSE,State of Palestine,-1,,,,,,,,,,,,,,,
PYF,French Polynesia,-1,,,,,,,,,,,,,,,
QAT,Qatar,22,Y,,2004,3,2,2,2,2,0,2,2,2,2,1,2
REU,Reunion,,,,,,,,,,,,,,,,
ROU,Romania,23,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
RUS,Russia,3,Y,2002,2011,3,,,,,,,,,,,
RWA,Rwanda,5,N,,2002,3,0,0,2,0,0,0,0,0,0,0,0
SAU,Saudi Arabia,23,Y,2002,2012,3,2,2,2,2,,2,2,2,2,2,2
SDN,Sudan,21,Y,2001,2006,3,2,2,2,2,0,2,2,2,2,0,2
SEN,Senegal,3,Y,2001,2003,3,0,0,0,0,0,0,0,0,0,0,0
SGP,Singapore,24,Y,2001,2005,3,2,2,2,2,1,2,2,2,2,2,2
SGS,South Georgia South Sandwich Islands,-911,,,,,,,,,,,,,,,
SHN,Saint Helena,-1,,,,,,,,,,,,,,,
SJM,Svalbard and Jan Mayen Islands,-1,,,,,,,,,,,,,,,
SLB,Solomon Islands,3,N,,2004,3,,,,,,,,,,,
SLE,Sierra Leone,3,N,,2003,3,0,0,0,0,0,0,0,0,0,0,0
SLV,El Salvador,17,Y,2001,2008,3,2,2,2,2,,2,2,0,0,0,2
SMR,San Marino,-1,,,,,,,,,,,,,,,
SOM,Somalia,3,N,,2010,3,,,,,,,,,,,
SPM,Saint Pierre and Miquelon,-1,,,,,,,,,,,,,,,
SRB,Serbia,23,Y,2002,2009,3,2,2,2,2,1,2,2,2,2,1,2
STP,Sao Tome and Principe,3,N,2002,2006,3,0,0,0,0,0,0,0,0,0,0,0
SUR,Suriname,20,N,2002,2011,3,2,2,2,2,0,,2,2,2,1,2
SVK,Slovakia,22,Y,2001,2002,3,2,2,2,2,,2,2,2,2,1,2
SVN,Slovenia,23,Y,2001,2004,3,2,2,2,2,1,2,2,2,2,1,2
SWE,Sweden,23,Y,2001,2002,3,2,2,2,2,1,2,2,2,2,1,2
SWZ,Swaziland,4,N,,2006,3,0,0,,0,0,0,0,0,0,1,0
SYC,Seychelles,12,N,2002,2008,3,1,1,1,1,0,1,1,1,1,0,1
SYR,Syria,21,Y,2002,2005,3,2,2,2,2,,2,2,2,2,,2
TCA,Turks and Caicos Islands,-1,,,,,,,,,,,,,,,
TCD,Chad,18,N,2002,2004,3,2,1,2,1,1,2,1,2,1,1,1
TGO,Togo,21,Y,2001,2004,3,2,2,2,2,,2,2,2,2,0,2
THA,Thailand,23,Y,2002,2005,3,2,2,2,2,1,2,2,2,2,1,2
TJK,Tajikistan,13,Y,2002,2007,3,2,2,2,2,0,0,2,0,0,0,0
TKL,Tokelau,-1,,,,,,,,,,,,,,,
TKM,Turkmenistan,0,Y,,,0,,,,,,,,,,,
TLS,Timor-Leste,-1,,,,,,,,,,,,,,,
TON,Tonga,3,N,2002,2009,3,,,,,,,,,,,
TTO,Trinidad and Tobago,24,Y,,2002,3,2,2,2,2,1,2,2,2,2,2,2
TUN,Tunisia,19,Y,2001,2004,3,2,2,2,2,,2,2,0,2,,2
TUR,Turkey,24,Y,2001,2009,3,2,2,2,2,1,2,2,2,2,2,2
TUV,Tuvalu,12,N,,2004,3,1,1,1,1,0,1,1,1,1,0,1
TWN,Taiwan,18,Y,,,0,2,2,2,2,,2,2,2,2,,2
TZA,Tanzania,22,Y,2001,2004,3,2,2,2,2,,2,2,2,2,1,2
UGA,Uganda,4,N,,2004,3,0,0,1,0,0,0,0,0,0,0,0
UKR,Ukraine,17,Y,2001,2007,3,2,2,2,2,,2,2,2,0,0,0
UMI,United States Minor Outlying Islands,-911,,,,,,,,,,,,,,,
URY,Uruguay,21,Y,2001,2004,3,2,2,2,2,0,2,2,2,2,0,2
USA,United States of America,20,Y,2001,,1,2,2,2,2,,2,2,2,2,1,2
UZB,Uzbekistan,0,Y,,,0,0,0,0,0,,0,0,0,0,0,0
VAT,Holy See,-1,,,,,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,3,N,,2005,3,,,,,,,,,,,
VEN,Venezuela,22,Y,2001,2005,3,2,2,2,2,1,2,2,2,2,0,2
VGB,British Virgin Islands,-1,,,,,,,,,,,,,,,
VIR,United States Virgin Islands,-1,,,,,,,,,,,,,,,
VNM,Viet Nam,22,Y,2001,2002,3,2,2,2,2,0,2,2,2,2,1,2
VUT,Vanuatu,3,N,2002,2005,3,,,,,,,,,,,
WLF,Wallis and Futuna Islands,-1,,,,,,,,,,,,,,,
WSM,Samoa,13,N,2001,2002,3,2,2,2,2,0,0,2,0,0,,0
YEM,Yemen,21,Y,2001,2004,3,2,2,2,2,0,2,2,2,2,,2
ZAF,South Africa,22,Y,2001,2002,3,2,2,2,2,0,2,2,2,2,1,2
ZMB,Zambia,18,Y,2001,2006,3,2,0,2,2,0,2,2,0,2,1,2
ZWE,Zimbabwe,3,Y,2001,2012,3,,,,,,,,,,,
